"﻿""Time""",Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP,PSComputerName
8/31/2027 7:51 PM,HKLM\System\CurrentControlSet\Services,AppReadiness,enabled,Services,System-wide,App Readiness: Gets apps ready for use the first time a user signs in to this PC and when adding new apps.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\appreadiness.dll,10.0.22000.1165,%SystemRoot%\System32\svchost.exe -k AppReadiness -p,72AB61C1990E2D8C91C297C9011789F2,85B73F15B717848E34AC285B54A232DFD5CFD1D5,C9A34525B63A36CC116E08D468D6BB714EC4F9E9,05961E37D42D9E7949C7EB79467778A96B2A4817C56AA1F43B4D3FF97B46A6F8,0C2ADA94C2A4286E0DDC46913750CFCFC1C56A89A4C76A6BCF37A066EABD9099,970126767EB2A52756B7FE061B85DE68,rd03.shieldbase.com
1/18/1918 7:36 AM,HKLM\System\CurrentControlSet\Services,AppXSvc,enabled,Services,System-wide,"AppX Deployment Service (AppXSVC): Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\appxdeploymentserver.dll,10.0.22000.1335,%systemroot%\system32\svchost.exe -k wsappx -p,3AC5D85DD8DA7749E99FDAB08092977E,807B2A3B5D6C3A5A50C1EF63239A587CE2ADDE64,CC6171BD9BD5F111658CC5AD89CA6B7AA31C808D,C7A1F76302FD169ACFF8ADC8658B1990F040581AB00AF6DBADDB3D37BB67D029,35127A40854C963E5AD1D3A754F2B6692750AF1E20DE36F96B9090BC461D09FD,2B3D0FE0BBCF429911C679012BB679A2,rd03.shieldbase.com
3/4/1992 6:29 PM,HKLM\System\CurrentControlSet\Services,AssignedAccessManagerSvc,enabled,Services,System-wide,AssignedAccessManager Service: AssignedAccessManager Service supports kiosk experience in Windows.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\assignedaccessmanagersvc.dll,10.0.22000.1165,%SystemRoot%\system32\svchost.exe -k AssignedAccessManagerSvc,C94A9BB75740920A311356DDC7AED42D,EC420949BD28C85F9024543B62BA1C17DF822626,BB8D3B72C887805EB6F88079F2BB9031CB5E260A,2362D017B69175994424703AD7BAA0589D67CBB030B880FF4A9F571E73D723C6,66475BBC84C1D27CBD4168A9EB6D024598EDA864DF0D78B1842C706DCA23EE99,627E8CE2E12BB8B16749F6ADDEEC167E,rd03.shieldbase.com
11/2/1902 4:17 PM,HKLM\System\CurrentControlSet\Services,AudioEndpointBuilder,enabled,Services,System-wide,"Windows Audio Endpoint Builder: Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\audioendpointbuilder.dll,10.0.22000.1281,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,E9A1EA22F7D9CD62544FD2F9B3C7ECC4,6D515A50EA1A8C36CA370E47488974F7465D1EA4,75E121ADDDD69430B035F8DB8E5719662AB9A3F8,59B324C9D6AE74AD25503460382DE5BBBD79C4549D728D6DB6163B1B21088B18,B51F27F73D223A484DA4BFEB5CED65588C6FC731BC3ECF827776DFE8FFE73167,B26B8633B973476FF43379C9955AC604,rd03.shieldbase.com
5/8/1981 7:51 AM,HKLM\System\CurrentControlSet\Services,Audiosrv,enabled,Services,System-wide,"Windows Audio: Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\audiosrv.dll,10.0.22000.1281,%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p,34E9D9B639D605E2CF8F498E14D7970A,2BB664CD26A8F1116FD109790CF8C700AD783446,48611512B50A67BF2CFD5EFE88E8F87F25AD8845,45DA8353DAED5CA06A8A1C19BA41283336F5ADDB337DDECB94E87FB47E0ECC12,65B2291F515F106F1C1FDD81E6A89689FF03C51E9263CC29DFEE974579BA90C8,56BEB15DB163A2EE438173E327FA6F6B,rd03.shieldbase.com
9/5/1922 12:12 PM,HKLM\System\CurrentControlSet\Services,autotimesvc,enabled,Services,System-wide,Cellular Time: This service sets time based on NITZ messages from a Mobile Network,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\autotimesvc.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k autoTimeSvc,02FBCD8285B61DF2D20BB32B2C16649C,911077269517E33AD68F3AD542C42A058A29F4A5,A84A5288BCE1450E87CBE00682EB465EEBDFF1C4,551EFBD48CA1904808E09DDB7A26C8CD7E37C726F97CCE85D8ABDCE663BCE3CB,75712A971024F27FE3FE2304ABD1B8A3CAD0C857D85211B8DC91FE089D20ACD5,8F7E503127BDE7EB88706CD22BA695DA,rd03.shieldbase.com
11/26/2018 8:14 PM,HKLM\System\CurrentControlSet\Services,AWSLiteAgent,enabled,Services,System-wide,AWS Lite Guest Agent: AWS Lite Guest Agent,"(Verified) Amazon Web Services, Inc.",Amazon Inc.,c:\program files\amazon\xentools\liteagent.exe,8.2.5.39,"""%SYSTEMDRIVE%\Program Files\Amazon\XenTools\LiteAgent.exe""",1DADFCA6597836ED2DAD9219D168D726,880A3697FF71666F8A7B3B12243D81A89BE9DC16,B2AC0D25CC1E047BA3F64CA18987E66BB2BD76D6,AD55302768D5B118E65D63F398DB13D265787F4CA8D0E9C55EA8A138980CC30C,3FB3488D3469AA664D9DF3CAEBBF737814F86626D472E70D955AACA0D086A110,2324B8B47CDF2813BE63B47DD3B10150,rd03.shieldbase.com
2/25/1953 6:48 PM,HKLM\System\CurrentControlSet\Services,AxInstSV,enabled,Services,System-wide,ActiveX Installer (AxInstSV): Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\axinstsv.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k AxInstSVGroup,E5A88BE8352A0B1748B19A6A0BCA23C5,64C8577D581E58825253D48F78C8BF48DF3C1A2D,34CE11731822341CC601A2DB922530990D8D59C4,05B490F91ACBFEE0DDDFB222A7DC947A2FD17AE1406009E3A16F8AC2CFEBC9E9,811AB47CFA55BFE0894C4C22B61DB657BB632E2977AF47986886E6245B4B3BF1,887B100404870EB16005A7B2A0BC8A12,rd03.shieldbase.com
4/20/1945 5:55 PM,HKLM\System\CurrentControlSet\Services,BcastDVRUserService,enabled,Services,System-wide,GameDVR and Broadcast User Service: This user service is used for Game Recordings and Live Broadcasts,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\bcastdvruserservice.dll,10.0.22000.708,%SystemRoot%\system32\svchost.exe -k BcastDVRUserService,B4B0475806006D23482745E88C2A4CD0,318CE13EA4AD72C8E9D235EDE86C50EFBE0CD0E3,20BCA636051A35D8CED639F06966B67B2B987AC7,F175D2DB2D3F1C6E6CAA413D744917268E2B79E240C05FBAB48879F25AFFBA7C,2FC5CEFD88ECAEBC3A44104CF083222FEB4DD83CB44E155A0B87A7847DE245E5,8B422A42F9B3DD041658BC3C98B92F67,rd03.shieldbase.com
1/29/1929 10:59 PM,HKLM\System\CurrentControlSet\Services,BDESVC,enabled,Services,System-wide,"BitLocker Drive Encryption Service: BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\bdesvc.dll,10.0.22000.1042,%SystemRoot%\System32\svchost.exe -k netsvcs -p,5D87ED2267A21D6B3AD3707C1514F59B,B955B213CF9CF4C971605EE4A10893BF1D396A9D,65485929948E7E08A356C99F97218705F8825BFD,AFAB949814BD228DE1B2EEE4830E01F6990A73E9FA2246CB3C2A37EB0BF5E796,60AD2D80107819F90ADDBF76D003BCD33646D5668A5D5017808ABD2EF6762D90,67A2542648C921FC0D77B2D396BB1D14,rd03.shieldbase.com
3/28/2035 4:35 PM,HKLM\System\CurrentControlSet\Services,BFE,enabled,Services,System-wide,Base Filtering Engine: The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\bfe.dll,10.0.22000.1042,%systemroot%\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p,275FC3E10F6DF61ABD5EC38850082450,EC86F791827729CFA6BC793DAB16EB2D79169F13,787CD079994964AA7DD15AF32CEBED50CE22704A,D55AEB20593BDFBFF14F9321C95C1DE1A229C798B07544F11B744724013D8D4C,CF04A34083E4A27B6D70B3CEF3B51F588788AA4EC44323F0262D8C67712C70FF,54471FD9B8BE71A73C3B3F78D466E4CB,rd03.shieldbase.com
3/8/1962 12:14 AM,HKLM\System\CurrentControlSet\Services,BITS,enabled,Services,System-wide,"Background Intelligent Transfer Service: Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\qmgr.dll,7.8.22000.593,%SystemRoot%\System32\svchost.exe -k netsvcs -p,28C7A2FBDC10F2B099A63D011E4C63A7,7ADE7957CD7D7F1145A8DC6882B48813EACEAAB3,32CA966B821BAEE8AF9A1FC414E5934FF7AD0FED,74C99482D3755D315AAF453FA0DBD4AD795F696677A566DE94A1D46BBC40629B,E7C67B5168BF91AD15F08411B2E8DDFC8031C9DDA55D2576F3AFA4F94BE7F438,669AC2CC65849B48B3ADD34FFB75A430,rd03.shieldbase.com
12/8/1941 3:54 AM,HKLM\System\CurrentControlSet\Services,BluetoothUserService,enabled,Services,System-wide,Bluetooth User Support Service: The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\microsoft.bluetooth.userservice.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k BthAppGroup -p,EB6F256E07B5ED0F13BA40E592DC49DD,2D8492822C4770B8B75118E867023AAFB35E12B2,F3F84DB7ACC8E258EB1707D273D37C7796E0B7EC,A4C9612A2E9A4E8C7D97A0E79B39FAB9F92E99ACF57F63E67A308A067C204A65,AC37DE522CEA9396F70614928CDC88C0037D5508ABBF1F6C04FA28BCCD62026B,077B84E48E4FE5F82411ED6C0EB86889,rd03.shieldbase.com
2/9/2016 4:53 PM,HKLM\System\CurrentControlSet\Services,BrokerInfrastructure,enabled,Services,System-wide,Background Tasks Infrastructure Service: Windows infrastructure service that controls which background tasks can run on the system.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\psmsrv.dll,10.0.22000.1,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,6D37C3C8DF34F42633389E69A09494E1,6024930AF50B9F41BFF26A40D0E152E3515B2DCB,CE725BD24679519486A7DB3B737B4FE1F2F0CA07,3F0F933B07CE37438FD46528C439273B29C4250EF99F89A07536C4A8344CA7A5,5DF2F6D9EAEFDDBB4D87095702D9585F6E81152576CA696C43F43954C7FD5221,0CFD4583A53FFDE013BE6D9F47AF402C,rd03.shieldbase.com
7/7/2000 5:25 PM,HKLM\System\CurrentControlSet\Services,BTAGService,enabled,Services,System-wide,Bluetooth Audio Gateway Service: Service supporting the audio gateway role of the Bluetooth Handsfree Profile.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\btagservice.dll,10.0.22000.1165,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted,CE49FEF96ADCEDCE224E45F86DF3156B,E168EC69AEB9B2A39C7DF12450F6B52EEDC2AF7A,65A7FD68A79D05B587B47755CBD41DBDAA7482F1,70EAF5720988678E87226EB33834EC526CA3E205AE34FF1F08E46E73104709B5,8E7F207256A4F3CCFF59AD2A37AB9F38185B45CD9436B5066524E0897F4C4C95,73448E1B9A8A3139F8605A2F2EE8BFC8,rd03.shieldbase.com
4/2/1957 11:25 AM,HKLM\System\CurrentControlSet\Services,BthAvctpSvc,enabled,Services,System-wide,AVCTP service: This is Audio Video Control Transport Protocol service,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\bthavctpsvc.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k LocalService -p,6E1F5CA5E819028F0F29D90D3964892E,7D5568875B73CB3EA0F1FE5D380A6577DFD33A82,2EC6C97FD4D6361B84DD183499576AE26F697BFB,A231AC8471B9FB2C6307EB2989CF6F0566777553E874146382AFB6FB44886286,54C0DA27CFB84807A6BD65A3CE14B82328CF8F4BF68E6910DB5B2AAA652E2891,8540BE77158B64D6277AB4811EF8FBAF,rd03.shieldbase.com
1/1/2020 1:18 AM,HKLM\System\CurrentControlSet\Services,bthserv,enabled,Services,System-wide,Bluetooth Support Service: The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\bthserv.dll,10.0.22000.1281,%SystemRoot%\system32\svchost.exe -k LocalService -p,B148C4EDF438C663D7F150DFA744F389,8404711BAA698682A3E1184ECA9C85E30A1470B5,DFCC0366E010A87DC835A23F0C23086D684DDE53,13041B78115904682C1ABF1B4CB8D4642AC0929459B3D3EEC2AFB106F4FDC045,751B0136F85E53235F3083A95BDAD6536DCF32F832C44A256C3E80463D0A4C6B,0081E62D85FF6C3ED2E76F1FBEABC2DC,rd03.shieldbase.com
9/27/1932 9:02 PM,HKLM\System\CurrentControlSet\Services,camsvc,enabled,Services,System-wide,Capability Access Manager Service: Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\capabilityaccessmanager.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k osprivacy -p,5C183D5A8F7CF6FCA60B733FAABDF6AF,7EE6910030F5A4B88BB1647C0686FF2F1F270EDA,2C23F715B378EAA8CBC679CA697661055B635515,4F5E09C33568E17B0EB6377AD812065002111D40ACD25C5A623D5D2CF56F416C,989858558E5AA52D442906BA11BC4A2C29455B72A0B4CA40FC5620C59B6A0704,A5B9EE6B7FB3AA5DFA72F6CF12F28D68,rd03.shieldbase.com
4/3/1967 5:44 PM,HKLM\System\CurrentControlSet\Services,CaptureService,enabled,Services,System-wide,CaptureService: Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\captureservice.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k LocalService -p,C2CE5C3A32AF85C57025D94AD69F23C8,82FFCAB268A62C7B0766460A10134940F1F2D754,FBC1640951637FFDAACF4574F820007E8113C299,29A2FE7D2A5CCC29534F24FAD97E7EB36811B8C1A64D29DF79F434353E03CF0B,44947C3EEE290421D4244AD8EEADF173282C38B5941B34D425D905C5BB36CE47,C62878F47F98ACD99C2249A2152E03C4,rd03.shieldbase.com
6/18/2016 7:20 PM,HKLM\System\CurrentControlSet\Services,cbdhsvc,enabled,Services,System-wide,Clipboard User Service: This user service is used for Clipboard scenarios,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\cbdhsvc.dll,10.0.22000.653,%SystemRoot%\system32\svchost.exe -k ClipboardSvcGroup -p,E6EE92D81A40F68FE1C18235550A4C43,CF0F5C0B0D2804D1F7CD88FE5165E68AEB14707B,01AB9F1818618F2DB9FE9FF7C7DEFCEA46DE01D2,EF99DCCBF9F67D6EAE806C7CFF9FD4AC01253BD13D8C71F4858282ABD9892F4D,D4D24EC52ACAAF2323B547D5CFED93AEB596B554AB13D0A26738A1DF3F6ACD7C,A39F8A082D87A0F4A922177FAD9A5F20,rd03.shieldbase.com
10/11/1911 6:53 AM,HKLM\System\CurrentControlSet\Services,CDPSvc,enabled,Services,System-wide,Connected Devices Platform Service: This service is used for Connected Devices Platform scenarios,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\cdpsvc.dll,10.0.22000.1042,%SystemRoot%\system32\svchost.exe -k LocalService -p,9C4F2A041A72204D93D62EE1F2E3ACF1,0AA8413BDAA3863EEA66F5970F948483CA9B0706,B35C8AD4B7DAE36F2FD81B850A9BD4D5CA522104,1BE64AF86A0CA586B6683FF285EF89BB72232F18ADCAAD4D71487360B29F4C3C,C053BDD1FA1D276A1975F2DF4F48C63A8E339D76F717CB5DA7DF94FBA2CF46E8,104B5902DA9B3083AD6ED7AFA2D2ECB5,rd03.shieldbase.com
1/7/2030 2:58 PM,HKLM\System\CurrentControlSet\Services,CDPUserSvc,enabled,Services,System-wide,Connected Devices Platform User Service: This user service is used for Connected Devices Platform scenarios,(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\cdpusersvc.dll,10.0.22000.1281,%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup,495DCAF69F06959F7385EBB4ADA24732,BA94BB15FBA335F6A3D696DFCC6DA1434AC86A79,8F8031DA24ED209474375DEE27DFFC7C0E56A99A,6B6877B3DF6F6BD9EEDA2221468FD582C162B629F943E35C0FEB8B5BECB14FC9,97B1B1EF46B3183EF1F130DA0451288BB46B36128F69892E1CF916EE5687C784,A7CD1A23A5436A7D34482C1EE0A1C32E,rd03.shieldbase.com
8/14/2023 5:11 PM,HKLM\System\CurrentControlSet\Services,CertPropSvc,enabled,Services,System-wide,"Certificate Propagation: Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.",(Verified) Microsoft Windows,Microsoft Corporation,c:\windows\system32\certprop.dll,10.0.22000.1,%SystemRoot%\system32\svchost.exe -k netsvcs,56502E2F60A3D140F467D1565226D70B,52D89B689D59E2CB9D427FF61A83C5164A0DF8C3,AC18C2D7B39B2BE17AD6450CD3E14A5DC4C3EEBC,AA713A70B92C5AF2F2AAA73E4F403A5E464C5984D226AAF017866D5DFEA341CE,F61D4D65936AA599D51250AF3989567DE7038D1BB1EA4913D47EF8954208F314,25F7D9F34232C2D2C71254CE170D60D5,rd03.shieldbase.com
